category,question,answer
UMUM,Bagaimana cara mendapatkan aplikasi Allo Bank?,Kamu bisa download aplikasi Allo Bank melalui Google Play Store dan App Store.
UMUM,Apa yang harus saya lakukan setelah mengunduh aplikasi Allo Bank?,"Kamu bisa langsung melakukan registrasi untuk mulai menikmati fitur dan fasilitas di dalam aplikasi
Tips penting! Jangan lupa untuk memverifikasi alamat email supaya kamu bisa menikmati lebih banyak fitur di Allo Bank."
UMUM,Apakah saya dapat log in ke 1 (satu) akun Allo Bank pada lebih dari 1 perangkat?,"Untuk menjaga keamanan akun, kamu tidak dapat log in ke akun Allo Bank di beberapa perangkat berbeda pada saat bersamaan."
UMUM,Apakah aplikasi Allo Bank dapat digunakan pada semua jenis perangkat?,Saat ini aplikasi Allo Bank dapat digunakan pada ponsel pintar dengan sistem operasi Android dan iOS.
UMUM,Apa yang harus dilakukan ketika aplikasi Allo Bank saya mengalami gangguan?,"Pertama-tama, pastikan kamu terhubung dengan jaringan internet yang stabil. Jika kamu masih mengalami gangguan, silakan hubungi Customer Care kami melalui salah satu saluran berikut:
- Chat Kami melalui halaman Pusat Bantuan
- Whatsapp 0822 0822 4110
- Call Center 080 4110 4110
- Email ke allocare@allobank.com"
UMUM,Apakah untuk menggunakan aplikasi Allo Bank saya harus terhubung dengan koneksi internet?,"Ya, kamu wajib terhubung dengan jaringan internet untuk dapat menggunakan aplikasi Allo Bank."
UMUM,Mengapa aplikasi Allo Bank saya berjalan sangat lambat?,Pastikan kamu terhubung dengan jaringan internet yang stabil.
UMUM,Bagaimana jika saya menemukan bug atau error pada aplikasi Allo Bank?,"Jika kamu menemukan bug atau error pada aplikasi Allo Bank, silakan hubungi Customer Care kami melalui salah satu saluran berikut:
- Chat Kami melalui halaman Pusat Bantuan
- Call Center 080 4110 4110
- Email ke allocare@allobank.com"
UMUM,Apakah aplikasi Allo Bank aman untuk digunakan?,"Tentu saja. Aplikasi Allo Bank didukung oleh teknologi yang aman, cepat, dan mudah digunakan. Agar akun kamu tetap terjaga, setiap aktivitas log in diamankan dengan password atau biometrik. Sedangkan setiap transaksi diamankan dengan PIN. Kami juga menjaga keakuratan data dan keamanannya dengan melakukan verifikasi email dan nomor ponsel."
UMUM,Apakah saya bisa melakukan pembayaran parkir di Secure Parking melalui Allo App?,"Nasabah dapat melakukan pembayaran parkir di Secure Parking 
melalui menu ""Pay"" pada aplikasi Allo App."
UMUM,Bagaimana cara saya melakukan pembayaran parkir di Secure Parking melalui Allo App?,"1. Masuk ke Allo App
2. Pilih menu ""Pay""
3. Scan QR pada tiket parkir Secure Parking
4. Pilih metode pembayaran yang akan digunakan untuk membayar tagihan parkir di Secure Parking
5. Tekan tombol ""Verifikasi Tiket""
6. Masukkan PIN
7. Scan tiket parkir pada pintu keluar / Berikan tiket parkir pada petugas di pintu keluar
8. Saldo Allo Wallet/Limit Pay Later akan berkurang secara otomatis."
UMUM,Berapa maksimal limit transaksi pembayaran parkir di Secure Parking melalui Allo App?,"Batas maksimum transaksi untuk membayar parkir melalui Allo App 
adalah Rp500.000"
UMUM,Bagaimana jika saya ingin mengajukan pertanyaan atau keluhan seputar transaksi pembayaran parkir di Secure Parking melalui Allo App?,"Allo Bank memiliki beberapa saluran layanan yang bisa kamu gunakan untuk menyampaikan pertanyaan atau keluhan.
- Call Center Hubungi kami melalui telepon di 080 4110 4110.
- WhatsApp Hubungi kami melalui WhatsApp di 0822 0822 4110.
- Email Sampaikan pertanyaan atau detail keluhan kamu melalui email ke allocare@allobank.com
- Media Sosial
Instagram: @allobank
Twitter: AlloBankID"
UMUM,Berapa biaya yang dibebankan kepada Nasabah untuk melakukan pembayaran parkir di Secure Parking melalui Allo App?,Nasabah tidak dikenakan biaya administrasi untuk transaksi pembayaran parkir di Secure Parking melalui Allo App
UMUM,Apakah saya bisa mengganti metode pembayaran selain Allo Bank jika saya sudah scan QR tiket parkir menggunakan Allo Bank?,Nasabah tidak dapat mengganti metode pembayaran selain Allo Bank jika Nasabah sudah scan QR dan melakukan verifikasi tiket parkir sebelumnya menggunakan Allo Bank.
UMUM,Bagaimana jika saldo atau limit saya tidak cukup?,Nasabah perlu memastikan bahwa saldo Allo Wallet atau limit Pay Later mencukupi sebelum scan tiket parkir pada pintu keluar/memberikan tiket parkir pada petugas di pintu keluar. Metode pembayaran Allo Bank tidak dapat diganti ke metode pembayaran lainnya setelah tiket berhasil diverifikasi melalui Allo App.
UMUM,Bagaimana Allo Bank terbentuk?,"Allo Bank terbentuk ketika Bank Harda Internasional (BHI) diakuisisi oleh Mega Corpora. Setelah diakusisi, Bank Harda Internasional (BHI) secara resmi berganti nama menjadi PT. Allo Bank Indonesia, Tbk."
UMUM,Berapa persen CAR (Capital Adequacy Ratio) di Allo Bank?,Anda dapat melihat data terkait CAR (Capital Adequacy Ratio) dan data keuangan Allo Bank lainnya di laporan keuangan Allo Bank yang dapat Anda akses melalui halaman Hubungan Investor.
AKUN,Di mana saya dapat melihat detail transaksi saya?,"Untuk melihat detail transaksi saldo kamu, ikuti langkah berikut:
1. Pada halaman Home, ketuk saldo kamu
2. Kamu akan masuk ke halaman Saldo Allo yang menunjukkan histori transaksi dan e-statement kamu
3. Untuk melihat detail transaksi, pilih salah satu transaksi untuk membukanya
Untuk melihat detail transaksi poin kamu, ikuti langkah berikut:
1. Pada halaman Home, ketuk poin kamu
2. Kamu akan masuk ke halaman Poin Allo yang menunjukkan histori transaksi dan e-statement kamu
3. Untuk melihat detail transaksi, pilih salah satu transaksi untuk membukanya."
AKUN,Bagaimana cara menjadi member Allo Bank?,"Menjadi member Allo Bank sangat mudah. Cukup download aplikasi Allo Bank di ponsel kamu melalui Google Play Store atau App Store, kemudian registrasi sesuai instruksi yang diberikan."
AKUN,Keuntungan apa yang saya dapatkan sebagai member Allo Bank?,"Selain dapat menikmati fitur-fitur yang mempermudah transaksi dan aktivitas kamu sehari-hari, kamu juga akan menikmati beragam keuntungan berikut:
- Menjelajahi ekosistem CT Corp
- Satu login dan registrasi di seluruh unit bisnis CT Corp (Kamu hanya cukup mendaftarkan satu saja)
- Keuntungan dan kejutan eksklusif untuk member
- Poin dan kupon untuk transaksi dengan aplikasi Allo Bank
- Info promosi dan berita terbaru yang dikurasi khusus untukmu"
AKUN,Apa yang harus saya persiapkan untuk membuat akun Allo Bank?,"Untuk membuat akun Allo Bank, kamu cukup menyiapkan nomor ponsel dan alamat email."
AKUN,Mengapa saya tidak bisa mendaftarkan nomor ponsel/email di aplikasi Allo Bank?,"Pastikan nomor ponsel yang kamu gunakan sudah sesuai dan terdaftar pada operator yang digunakan, sehingga kamu dapat menerima kode OTP (One-Time Password) yang kami kirimkan pada proses registrasi. Untuk alamat email, pastikan kamu memasukkan alamat email yang akurat agar dapat menerima email verifikasi. Verifikasi ini sangat penting supaya kamu dapat menikmati layanan di aplikasi Allo Bank
Pastikan juga bahwa nomor ponsel dan alamat email yang kamu masukkan belum pernah terdaftar di Allo Bank."
AKUN,Biaya apa saja yang dikenakan ketika melakukan registrasi?,Kamu hanya akan dikenakan biaya pengiriman SMS berisi kode OTP (One-Time Password) dan koneksi internet. Besar biaya yang dikenakan bergantung kepada operator nomor ponsel kamu.
AKUN,Bagaimana jika saya sudah pernah registrasi sebelumnya?,Kamu bisa langsung log in ke aplikasi Allo Bank menggunakan nomor ponsel dan password kamu.
AKUN,Apakah saya bisa menggunakan nomor ponsel atau alamat email yang sudah terdaftar untuk melakukan registrasi?,"Tidak, nomor ponsel dan alamat email yang sudah terdaftar di Allo Bank tidak dapat digunakan untuk registrasi. Jika kamu sudah pernah registrasi sebelumnya, silakan log in ke aplikasi Allo Bank menggunakan nomor ponsel yang terdaftar."
AKUN,Apakah saya bisa melakukan registrasi menggunakan nomor ponsel atau alamat email orang lain?,"Tidak, melakukan registrasi dengan nomor ponsel atau alamat email orang lain adalah ilegal. Penggunaan nomor ponsel dan alamat email miliki sendiri sangat penting untuk melakukan verifikasi dan mendapatkan berbagai informasi transaksi serta aktivitas kamu secara langsung."
AKUN,Bagaimana jika saya mengalami gangguan pada perangkat atau koneksi internet saat registrasi?,"Setelah memastikan bahwa perangkat dan koneksi internet kembali normal, kamu dapat mengulangi proses registrasi."
AKUN,Apakah saya wajib memberikan nama lengkap pada saat melakukan registrasi?,"Ya, kamu wajib memberikan nama lengkap sesuai kartu identitas pada saat registrasi."
AKUN,Apakah data pribadi yang saya berikan pada saat registrasi dijamin keamanannya oleh Allo Bank?,Allo Bank menjamin keamanan data yang kamu berikan pada saat melakukan registrasi dan aktivitas keuangan melalui aplikasi Allo Bank sesuai dengan Kebijakan Privasi yang berlaku.
AKUN,Bagaimana cara log in pada aplikasi Allo Bank?,"Berikut adalah cara log in ke akun Allo Bank kamu:
1. Pastikan kamu sudah melakukan proses registrasi dari awal hingga akhir
2. Buka aplikasi Allo Bank kamu, kemudian ketuk Log In
3. Masukkan nomor ponsel dan password kamu untuk log in."
AKUN,Mengapa saya tidak bisa log in di aplikasi Allo Bank?,"Berikut adalah beberapa alasan kamu tidak dapat log in ke dalam aplikasi Allo Bank:
- Nomor ponsel yang kamu gunakan untuk log in berbeda dengan nomor ponsel yang didaftarkan pada saat registrasi
- Kamu tidak terhubung dengan koneksi internet yang stabil
- Akun Allo Bank kamu berada dalam status terblokir
Untuk informasi lebih lanjut, hubungi Call Center Allo Bank di 080 4110 4110."
AKUN,Mengapa saya tiba-tiba log out dari aplikasi Allo Bank?,Akun Kamu mungkin sedang digunakan di ponsel lain
AKUN,Biaya apa saja yang dikenakan ketika log in di aplikasi Allo Bank?,Kamu hanya dikenakan biaya koneksi internet sesuai dengan tarif operator yang kamu gunakan.
AKUN,Apakah saya bisa log in ke akun Allo Bank menggunakan sidik jari atau deteksi wajah?,"Ya, kamu bisa log in ke akun Allo Bank menggunakan sidik jari atau deteksi wajah jika:
- Perangkat yang kamu gunakan mendukung fitur sidik jari atau deteksi wajah
- Kamu sudah mendaftarkan sidik jari atau wajah pada perangkat yang kamu gunakan"
AKUN,Bagaimana cara log in di aplikasi Allo Bank menggunakan fingerprint atau face biometric?,"Jika Anda ingin login menggunakan menggunakan biometric (fingerprint atau verifikasi wajah) di aplikasi Allo Bank, Anda dapat mengikuti langkah berikut:
1. Pastikan Anda sudah melakukan proses registrasi dari awal hingga akhir.
2. Buka aplikasi Allo Bank Anda.
3. Jika smartphone mu menggunakan fingerprint, letakkan jari mu pada posisi tampilan sidik jari.
4. Jika smartphone mu menggunakan verifikasi wajah, arahkan wajah mu di depan layar/kamera smartphone mu."
AKUN,Bagaimana cara log in di aplikasi Allo Bank menggunakan password?,"Jika Anda ingin login menggunakan Password di aplikasi Allo Bank, Anda dapat mengikuti langkah berikut:
1. Pastikan Anda sudah melakukan proses registrasi dari awal hingga akhir.
2. Buka aplikasi Allo Bank Anda
3. Masukkan nomor ponsel dan Password Anda untuk login."
AKUN,Apakah saya bisa melakukan transaksi di aplikasi Allo Bank tanpa log in terlebih dahulu?,"Tidak, kamu harus log in terlebih dahulu untuk melakukan transaksi di aplikasi Allo Bank."
AKUN,Mengapa saya perlu log in untuk melakukan transaksi di aplikasi Allo Bank?,Kamu diwajibkan untuk log in sebelum melakukan transaksi sebagai salah satu cara untuk menjaga keamanan transaksi dan akun.
AKUN,"Apa beda Allo Pay, Allo Pay+ dan Allo Prime?","Allo Pay merupakan dompet elektronik dari Allo Bank yang unregistered dengan fasilitas: 
1. Maksimal Saldo: Rp2.000.000, -
2. Maksimal limit transaksi per bulan: Rp20.000.000, - per bulan
Anda juga bisa menikmati berbagai layanan:
1. Top Up Saldo
2. Bayar Tagihan
3. QRIS
Sedangkan, Allo Pay+ merupakan dompet elektronik dari Allo Bank yang registered dengan fasilitas: 
1. Maksimal Saldo: Rp10.000.000, -
2. Maksimal limit transaksi per bulan: Rp20.000.000, - per bulan
Anda juga bisa menikmati berbagai layanan:
1. Top Up Saldo
2. Bayar Tagihan
3. QRIS
4. Transfer
5. Tarik Tunai
Terakhir, Allo Prime merupakan produk tabungan dari Allo Bank dengan fasilitas: 
1. Tidak ada batas kuota untuk transaksi keluar
2. Tidak ada batas kuota untuk transaksi masuk
3. Pembukaan Rekening Deposito
4. Suku Bunga Kompetitif
Anda juga bisa menikmati berbagai layanan:
1. Top Up Saldo
2. Bayar Tagihan
3. QRIS
4. Transfer
5. Tarik Tunai
6. Allo Grow
7. Deposito
8. E-Wallet
9. Instant Cash
10. Referral"
AKUN,Bagaimana saya bisa upgrade menjadi Allo Prime?,"Nasabah dapat melakukan upgrade ke Allo Prime dari beberapa produk seperti :
Allo Pay dengan langkah sebagai berikut :
- Login ke aplikasi Allo Bank
- Klik tombol “Upgrade Now” pada Homepage Allo Ap
- Memilih Allo Prime & klik “Upgrade to Allo Prime”
- Input PIN
- Melakukan proses otentikasi yang terdiri atas dua proses utama yakni scan/pindai KTP (Kartu Tanda Penduduk) & selfie wajah
- Nasabah mengisi & melengkapi beberapa info pada online form yang disediakan
- Nasabah membaca & menyetujui syarat dan ketentuan yang berlaku
- Selesai
Allo Pay+ dengan langkah-langkahnya sebagai berikut :
- Login ke aplikasi Allo Bank
- Klik tombol “Upgrade Now” pada Homepage Allo App
- Memilih Allo Prime & klik “Upgrade to Allo Prime”
- Input PIN
- Nasabah mengisi & melengkapi beberapa info pada online form yang disediakan
- Nasabah membaca & menyetujui syarat dan ketentuan yang berlaku
- Selesai"
AKUN,"Apakah saya bisa memiliki Allo Pay, Allo Pay+ dan Allo Prime secara bersamaan?","Nasabah tidak dapat memiliki produk Allo Pay, Allo Pay+ dan Allo Prime secara bersamaan"
AKUN,Apa yang dimaksud dengan Deposito?,Merupakan salah satu produk simpanan di bank yang penyetoran dan penarikannya hanya bisa dilakukan pada jangka waktu/tenor tertentu
AKUN,Apa keuntungan Deposito Allo Bank?,"Produk Deposito memiliki tingkat suku bunga yang kompetitif dan pilihan tenor/jangka waktu yang beraneka ragam. Selain itu, proses pengajuan Deposito juga cepat, mudah dan aman dengan minimal saldo sebesar Rp 10.000.000,00 (sepuluh juta rupiah)"
AKUN,Apa yang akan terjadi ketika Deposito jatuh tempo?,Apabila Nasabah Nasabah tidak memilih opsi perpanjangan semisal ARO pokok atau ARO pokok + bunga pada saat awal mengajukan produk Deposito atau melalui menu “edit” untuk menu opsi perpanjangan produk Deposito yang sedang berjalan maka sejumlah nominal dan bunga yang didapatkan oleh Nasabah akan ditransfer ke rekening Allo Prime milik Nasabah tersebut
AKUN,Bagaimana saya dapat melakukan Automatic Roll-over (ARO)?,Nasabah dapat memilih opsi perpanjangan semisal ARO pokok atau ARO pokok + bunga pada saat awal mengajukan produk Deposito atau melalui menu “edit” untuk menu opsi perpanjangan produk Deposito yang sedang berjalan
AKUN,Apakah saya dapat melakukan pencairan rekening deposito sebelum tanggal Jatuh Tempo yang telah ditentukan?,Tidak Bisa. Nasabah tidak bisa melakukan pencairan deposito sebelum tanggal Jatuh Tempo yang telah ditentukan.
AKUN,Apakah saya dapat melakukan penggantian opsi Automatic Roll-over (ARO) ketika Deposito sudah berjalan?,Bisa. Nasabah dapat memilih menu edit pada rekening Deposito yang dimiliki untuk melakukan perubahan pada opsi Automatic Roll Over (ARO) selama belum melebihi batas maksimum yang ditentukan untuk jumlah perubahan selama periode berjalan dengan ketentuan nominal dan tenor waktu yang sama dengan awal diperjanjikan
AKUN,Apakah saya dapat mengganti tenor atau tenggat waktu jatuh tempo Deposito pada saat sedang berjalan?,"Tidak bisa. Nasabah hanya diperbolehkan mengubah opsi ARO, selama belum melebihi batas maksimum yang ditentukan untuk jumlah perubahan pada periode rekening Deposito yang sedang berjalan dengan jumlah syarat dan jangka waktu yang sama dengan perjanjian awal."
AKUN,Apa itu Allo Pay Later & Dana Instan?,"Allo Pay Later adalah produk pinjaman individu digital yang memiliki batas kredit dan mendukung bayar nanti atau Pay Later dan pinjaman tunai Dana Instan pada saat yang bersamaan. Kamu dapat mendaftar langsung di Allo App hanya dengan E-KTP dan Kamu akan berhasil registrasi dalam beberapa menit.
Setelah disetujui, Kamu dapat menggunakan batas kredit Kamu untuk membayar nanti dan mendapatkan uang tunai instan ke Allo Wallet Kamu atau Wallet lainnya yang bekerja sama dengan Allo Bank. Selain itu, Pay Later dan Instant Cash mendukung cicilan hingga 1,3,6,12 bulan."
AKUN,Mengapa saya tidak memenuhi syarat untuk mendaftar produk Pay Later?,"Jika saat ini, Kamu tidak dapat mengajukan Allo Pay Later, bertahanlah! dan coba gunakan Aplikasi Allo Bank lebih sering untuk menunjukkan perilaku yang baik, dan kami akan memberi tahu Kamu setelah Kamu mendaftar kembali."
AKUN,Apa itu Dana Instan?,Dana Instan adalah pinjaman tunai untuk Kamu yang memiliki Pay Later dengan fungsi pencairan
AKUN,Bagaimana cara saya mencairkan dana dari Dana Instan saya?,Kamu dapat melihat Dana Instan di halaman depan bagian limit kredit. Masukkan jumlah Dana Instan lalu pilih cicilan untuk konfirmasi.
AKUN,Data apa saja yang dapat diubah pada aplikasi Allo Bank?,Anda hanya dapat mengubah nomor ponsel dan alamat email di aplikasi Allo Bank.
AKUN,Di mana saya bisa menemukan file e-statement saya?,Anda bisa mendapatkan file e-statement pada tab e-Statement di Halaman Saldo dalam aplikasi Allo Bank.
AKUN,Di mana saya bisa menemukan file e-statement saya?,Anda bisa mendapatkan file e-statement pada tab e-Statement di Halaman Saldo dalam aplikasi Allo Bank.
AKUN,Bagaimana cara mengubah nomor ponsel saya di aplikasi Allo?,"Anda bisa mengubah nomor ponsel pada menu 'Profil Saya"". Pilih ""Ubah Profil"" dan tekan tombol ""Ganti"" untuk mengubahnya.

Jika Anda tidak berhasil mengubah nomor ponsel, pastikan beberapa hal berikut:
1. Pastikan nomor ponsel baru Anda belum pernah terdaftar di akun Allo Bank, atau
2. Tutup dan buka kembali aplikasi Allo Bank Anda dan coba ubah nomor ponsel kembali"
AKUN,Apa yang harus saya lakukan jika saya lupa nomor ponsel yang terdaftar saat login ke aplikasi Allo Bank?,"Tidak perlu khawatir, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,"Apabila nomor ponsel lama saya sudah hilang atau kedaluwarsa, bagaimana cara menggantinya?","Tidak perlu khawatir, Anda tetap bisa login ke aplikasi Allo Bank dengan menggunakan nomor ponsel lama dan Password. Namun pastikan Anda segera mengubah nomor ponsel di halaman ""Profil Saya"" dengan memilih menu ""Ubah Profil"" dan tekan tombol ""Ganti"" untuk mengubahnya."
AKUN,Bagaimana cara mengubah alamat email saya di aplikasi Allo?,"Ikuti langkah-langkah ini untuk mengubah alamat email:
1. Pada halaman ""Profil Saya"", pilih tombol ""Ubah Profil"".
2. Tekan pada tombol ""Ubah"" di sisi kanan alamat email Anda.
3. Masukkan kode OTP (One-Time Password)yang dikirimkan ke nomor ponsel Anda.
4. Masukkan alamat email baru Anda, lalu tekan tombol ""Simpan"".
5. Periksa inbox email Anda dan lakukan verifikasi melalui tautan yang kami kirim ke email Anda."
AKUN,Apa fungsi Password di aplikasi Allo?,"Password Anda diperlukan untuk masuk ke aplikasi Allo Bank, terutama jika Anda tidak mengaktifkan verifikasi biometrik pada aplikasi Anda."
AKUN,Apa yang harus saya lakukan jika saya gagal dalam tahap verifikasi wajah saat mengatur ulang Password?,"Anda dapat mencoba lagi dan pastikan bahwa Anda memegang smartphone sejajar dengan mata Anda dan wajah Anda berada dalam lingkaran. Hal-hal yang dapat menyebabkan kegagalan verifikasi wajah adalah kamera yang buram, cahaya yang kurang, dan penggunaan aksesoris."
AKUN,Apa yang harus saya lakukan ketika saya tetap tidak bisa mengubah Password setelah saya memasukkan nomor OTP?,"Tidak perlu khawatir, Anda dapat menghubungi Allo Care kami untuk melakukan laporan melalui:
Telepon: 080 4110 4110
Whatsapp: 0822 0822 4110 (Chat Only)
Email: allocare@allobank.com

Selanjutnya, setelah laporan sudah diterima akan dilakukan investigasi lebih lanjut."
AKUN,Bagaimana cara mengubah Password saya di aplikasi Allo?,"Untuk mengubah Password, Anda dapat mengikuti langkah berikut:
1. Pilih menu ""Profil""
2. Tekan menu ""Keamanan"" yang ada di bagian Pengaturan aplikasi Allo Bank
3. Pilih ""Ganti Password""
4. Masukkan PIN Allo Bank yang Anda gunakan saat ini (Jika Anda lupa PIN yang Anda gunakan saat ini, Anda dapat mengikuti petunjuk yang ada di artikel ""Lupa PIN"")
5. Masukkan Password yang Anda gunakan saat ini
6. Lalu, masukkan Password baru
7. Lakukan konfirmasi dengan memasukkan kembali Password baru yang akan Anda gunakan
8. Lalu tekan tombol ""Simpan""
9. Anda berhasil membuat Password baru, Email pemberitahuan juga akan dikirimkan kepada Anda untuk mengonfirmasi bahwa perubahan Password Anda telah berhasil."
AKUN,"Apabila saya tidak ingat Password aplikasi Allo, bagaimana cara menggantinya?","Jika Anda lupa Password Allo Bank, Anda dapat mengikuti langkah berikut:
1. Pada halaman login, tekan tombol ""Lupa Password""
2. Pilih metode untuk mendapatkan kode OTP, melalui SMS atau Email.
3. Anda akan mendapatkan kode OTP (One-Time Password)sesuai metode yang dipilih.
4. Masukkan kode OTP (One-Time Password)yang Anda terima.
5. Kemudian, Anda akan diminta untuk mengatur ulang Password."
AKUN,"Saya salah memasukkan Password sebanyak 5 kali, apa yang harus saya lakukan?","Setelah salah Password sebanyak 5 kali, akun Anda akan terblokir sementara. Akun Anda akan terbuka blokir nya secara otomatis keesokan harinya dan Anda dapat login kembali dengan Password yang terdaftar, atau Anda dapat langsung pilih ""Lupa Password"" dan login menggunakan Password baru."
AKUN,Bagaimana cara mengubah PIN saya di aplikasi Allo?,"Untuk mengubah PIN, Anda dapat mengikuti langkah berikut:
1. Pilih menu ""Profil""
2. Tekan menu ""Keamanan"" yang ada di bagian Pengaturan aplikasi Allo Bank
3. Pilih 'Ganti PIN""
4. Masukkan PIN Allo Bank yang Anda gunakan saat ini (Jika Anda lupa PIN yang Anda gunakan saat ini, Anda dapat mengikuti petunjuk yang ada di artikel ""Lupa PIN"")
5. Masukkan PIN yang Anda gunakan saat ini
6. Lalu, masukkan PIN baru
7. Lakukan konfirmasi dengan memasukkan kembali PIN baru yang akan Anda gunakan
8. Lalu tekan tombol ""Simpan""
9. Anda berhasil membuat PIN baru, Email pemberitahuan juga akan dikirimkan kepada Anda untuk mengonfirmasi bahwa perubahan PIN Anda telah berhasil."
AKUN,Bagaimana cara mengaktikan verifikasi wajah atau sidik jari (biometric) di aplikasi Allo?,"Anda bisa mengaktifkan verifikasi wajah atau sidik jari (biometric) dengan mengikuti langkah berikut:
1. Pilih menu ""Profil""
2. Tekan menu ""Keamanan"" yang ada di bagian Pengaturan
3. Aktivasi toggle ""Verifikasi Face ID"" atau ""Verifikasi Sidik Jari"""
AKUN,"Apabila saya tidak ingat PIN aplikasi Allo, bagaimana cara menggantinya?","Jika Anda lupa PIN Allo Bank, Anda dapat mengikuti langkah berikut:
1. Pada saat Anda sedang melakukan transaksi dan diminta memasukkan PIN, tekan tombol ""Lupa PIN""
2. Pilih metode untuk mendapatkan kode OTP, melalui SMS atau Email.
3. Anda akan mendapatkan kode OTP (One-Time Password)sesuai metode yang dipilih.
4. Masukkan kode OTP (One-Time Password)yang Anda terima.
5. Kemudian, Anda akan diminta untuk mengatur ulang PIN."
AKUN,Apa saja yang harus saya lakukan untuk menutup akun Allo Bank?,"Mohon pastikan Anda mengosongkan saldo rekening Allo Prime dalam posisi Rp0,- dan telah memutuskan tautan rekening Allo Prime dari aplikasi pihak ketiga yang bekerjasama dengan Bank (jika ada). Anda juga harus memastikan tidak ada tunggakan Allo PayLater (jika Anda menggunakan fitur PayLater). Kemudian, Anda dapat menghubungi Allo Care melalui :
Telepon: 080 4110 4110"
AKUN,Apa saja yang harus saya lakukan untuk menutup akun Allo PayLater?,"Mohon pastikan Anda tidak ada tunggakan Allo PayLater. Kemudian, Anda dapat menghubungi Allo Care melalui:
Telepon: 080 4110 4110"
AKUN,Apakah MPC Points yang saya miliki akan hangus setelah akun ditutup?,"Ya, MPC Points akan hangus setelah akun Anda ditutup."
AKUN,"Apabila saya sudah pernah menutup akun Allo Prime, apakah saya bisa membuka akun Allo Prime kembali?","Mohon maaf, Anda tidak bisa membuka akun Allo Prime kembali."
